Brand,Collection_Name,S.No.,Item No.,Article,DESIGN REPEAT cm,WIDTH m,LENGHT m,Repeat_1_Value,Repeat_1_Type,Repeat_2_Value,Repeat_2_Type,imagePath,pixelWidth,pixelHeight,scale
Cristiana Masi,CVLTO,4844,21132,21132,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21132.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4845,21176,21176,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CVLTO/21176.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4846,21171,21171,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CVLTO/21171.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4847,21186,21186,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21186.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4848,21103,21103,64 offset,0.53,10.05,64,Offset,64,Offset,/local-textures/CVLTO/21103.jpg,3543,4278,0.64
Cristiana Masi,CVLTO,4849,21187,21187,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21187.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4850,21129,21129,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CVLTO/21129.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4851,21188,21188,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21188.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4852,21119,21119,17.7 straight,0.53,10.05,17.7,Straight,17.7,Straight,/local-textures/CVLTO/21119.jpg,3543,3543,0.53
Cristiana Masi,Flora,4706A,18501,18501,64 offset,0.53,10.05,64,Offset,64,Offset,/local-textures/Flora/18501.jpg,1134,1369,0.64
Cristiana Masi,Flora,4713A,18502,18502,64 offset,0.53,10.05,64,Offset,64,Offset,/local-textures/Flora/18502.jpg,1134,1369,0.64
Cristiana Masi,Flora,4717A,18503,18503,64 offset,0.53,10.05,64,Offset,64,Offset,/local-textures/Flora/18503.jpg,1134,1369,0.64
Cristiana Masi,Flora,4701A,18504,18504,64 offset,0.53,10.05,64,Offset,64,Offset,/local-textures/Flora/18504.jpg,1134,1369,0.64
Cristiana Masi,Flora,4709A,18506,18506,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18506.jpg,1134,1134,0.53
Cristiana Masi,Flora,4712A,18507,18507,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18507.jpg,1134,1134,0.53
Cristiana Masi,Flora,4702A,18508,18508,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18508.jpg,1134,1134,0.53
Cristiana Masi,Flora,4719A,18509,18509,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18509.jpg,1134,1134,0.53
Cristiana Masi,Flora,4707B,18510,18510,"1,9 straight",0.53,10.05,"1,9",Straight,,,/local-textures/Flora/18510.jpg,1134,1134,0.53
