Collection_Name,Manufacturer_Collection_Name,S.No.,Item No.,Article,DESCRIPTION,Rolls,Rate,Amount,WEIGHT GRS/SMT,EAN CODE,GROSS WEIGHT KG/RX,NET WEIGHT KG./RX,BOX WEIGHT KG,DESIGN REPEAT cm,WIDTH m,LENGHT m,QUANTITY PER BOX,VOL/BOX mc,BOX TOT.WEIGHT kg,RESISTANCE TO LIGHT,WASHABILITY,REACTION TO FIRE,CERTIFICATIONS,EMISSIONS DANS L'AIR INTERIEUR,Repeat_1_Value,Repeat_1_Type,Repeat_2_Value,Repeat_2_Type
Aura,Aura,47006.0,42272.0,42272,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422728.0,4.491,4.261,0.86,zero/53 straight,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,0.0,,53.0,Straight
Aura,Aura,47006.0,42272.0,42272,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422728.0,4.491,4.261,0.86,zero/53 straight,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,0.0,,53.0,Straight
Aura,Aura,47032.0,42275.0,42275,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422759.0,4.491,4.261,0.86,zero/53 straight,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,0.0,,53.0,Straight
Botany House,Botany House,44141.0,15501.0,15501,Botany House/TNT,,10.7,0.0,130 gr,8022560155015.0,0.707,0.692,0.35,53 straight,0.53,10.05,12.0,0.018,8.484,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Straight,,
Botany House,Botany House,44106.0,15502.0,15502,Botany House/TNT,,10.7,0.0,130 gr,8022560155022.0,0.736,0.692,0.35,53 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Straight,,
Botany House,Botany House,44122.0,15503.0,15503,Botany House/TNT,,10.7,0.0,130 gr,8022560155039.0,0.736,0.692,0.35,53 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Straight,,
Botany House,Botany House,44144.0,15513.0,15513,Botany House/TNT,,10.7,0.0,130 gr,8022560155138.0,0.736,0.692,0.35,53 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Straight,,
Botany House,Botany House,44113.0,15514.0,15514,Botany House/TNT,,10.7,0.0,130 gr,8022560155145.0,0.736,0.692,0.35,53 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Straight,,
Botany House,Botany House,44101.0,15515.0,15515,Botany House/TNT,,10.7,0.0,130 gr,8022560155152.0,0.736,0.692,0.35,53 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Straight,,
Botany House,Botany House,44150.0,15516.0,15516,Botany House/TNT,,10.7,0.0,130 gr,8022560155169.0,0.736,0.692,0.35,53 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Straight,,
Botany House,Botany House,44111.0,15517.0,15517,Botany House/TNT,,10.7,0.0,130 gr,8022560155176.0,0.736,0.692,0.35,53 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Straight,,
Botany House,Botany House,44120.0,15518.0,15518,Botany House/TNT,,10.7,0.0,130 gr,8022560155183.0,0.736,0.692,0.35,53 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Straight,,
Botany House,Botany House,44107.0,15519.0,15519,Botany House/TNT,,10.7,0.0,130 gr,8022560155190.0,0.736,0.692,0.35,53 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Straight,,
Botany House,Botany House,44130.0,15521.0,15521,Botany House/TNT,,10.7,0.0,130 gr,8022560155213.0,0.736,0.692,0.35,60 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,60.0,Straight,,
Botany House,Botany House,44116.0,15523.0,15523,Botany House/TNT,,10.7,0.0,130 gr,8022560155237.0,0.736,0.692,0.35,60 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,60.0,Straight,,
Botany House,Botany House,44128.0,15524.0,15524,Botany House/TNT,,10.7,0.0,130 gr,8022560155244.0,0.736,0.692,0.35,60 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,60.0,Straight,,
Botany House,Botany House,44146.0,15525.0,15525,Botany House/TNT,,10.7,0.0,130 gr,8022560155251.0,0.736,0.692,0.35,60 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,60.0,Straight,,
Botany House,Botany House,44135.0,15527.0,15527,Botany House/TNT,,10.7,0.0,130 gr,8022560155275.0,0.736,0.692,0.35,53 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Straight,,
Botany House,Botany House,44126.0,15528.0,15528,Botany House/TNT,,10.7,0.0,130 gr,8022560155282.0,0.736,0.692,0.35,53 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Straight,,
Botany House,Botany House,44139.0,15529.0,15529,Botany House/TNT,,10.7,0.0,130 gr,8022560155299.0,0.736,0.692,0.35,53 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Straight,,
Botany House,Botany House,44133.0,15531.0,15531,Botany House/TNT,,10.7,0.0,130 gr,8022560155312.0,0.736,0.692,0.35,53 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Straight,,
Botany House,Botany House,44114.0,15534.0,15534,Botany House/TNT,,10.7,0.0,130 gr,8022560155343.0,0.736,0.692,0.35,53 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Straight,,
Botany House,Botany House,44103.0,15535.0,15535,Botany House/TNT,,10.7,0.0,130 gr,8022560155350.0,0.736,0.692,0.35,53 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Straight,,
Botany House,Botany House,44147.0,15536.0,15536,Botany House/TNT,,10.7,0.0,130 gr,8022560155367.0,0.736,0.692,0.35,53 offset,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Offset,,
Botany House,Botany House,44137.0,15537.0,15537,Botany House/TNT,,10.7,0.0,130 gr,8022560155374.0,0.736,0.692,0.35,53 offset,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Offset,,
Botany House,Botany House,44110.0,15538.0,15538,Botany House/TNT,,10.7,0.0,130 gr,8022560155381.0,0.736,0.692,0.35,53 offset,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Offset,,
Botany House,Botany House,44109.0,15539.0,15539,Botany House/TNT,,10.7,0.0,130 gr,8022560155398.0,0.736,0.692,0.35,53 offset,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Offset,,
Botany House,Botany House,44154.0,15547.0,15547,Botany House/TNT,,10.7,0.0,130 gr,8022560155473.0,0.736,0.692,0.35,64 offset,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,64.0,Offset,,
Botany House,Botany House,44124.0,15548.0,15548,Botany House/TNT,,10.7,0.0,130 gr,8022560155480.0,0.736,0.692,0.35,64 offset,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,64.0,Offset,,
Botany House,Botany House,44123.0,15549.0,15549,Botany House/TNT,,10.7,0.0,130 gr,8022560155497.0,0.736,0.692,0.35,64 offset,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,64.0,Offset,,
Botany House,Botany House,44134.0,15551.0,15551,Botany House/TNT,,10.7,0.0,130 gr,8022560155510.0,0.736,0.692,0.35,53 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Straight,,
Botany House,Botany House,44108.0,15552.0,15552,Botany House/TNT,,10.7,0.0,130 gr,8022560155527.0,0.736,0.692,0.35,53 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Straight,,
Botany House,Botany House,44112.0,15553.0,15553,Botany House/TNT,,10.7,0.0,130 gr,8022560155534.0,0.736,0.692,0.35,53 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Straight,,
Botany House,Botany House,44136.0,15555.0,15555,Botany House/TNT,,10.7,0.0,130 gr,8022560155558.0,0.736,0.692,0.35,53 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Straight,,
Botany House,Botany House,44132.0,15556.0,15556,Botany House/TNT,,10.7,0.0,130 gr,8022560155565.0,0.736,0.692,0.35,53 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Straight,,
Botany House,Botany House,44131.0,15557.0,15557,Botany House/TNT,,10.7,0.0,130 gr,8022560155572.0,0.736,0.692,0.35,53 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Straight,,
Botany House,Botany House,44115.0,15559.0,15559,Botany House/TNT,,10.7,0.0,130 gr,8022560155596.0,0.736,0.692,0.35,53 straight,0.53,10.05,12.0,0.018,8.834,GOOD,WASHABLE,"D-s3,d2",CE,A+,53.0,Straight,,
Botany House,Botany House,44145.0,15565.0,15565,Botany House/TNT,,10.7,0.0,130 gr,8022560155657.0,0.745,0.692,0.45,32 straight,0.53,10.05,12.0,0.021,8.934,GOOD,WASHABLE,"D-s3,d2",CE,A+,32.0,Straight,,
Botany House,Botany House,44105.0,15566.0,15566,Botany House/TNT,,10.7,0.0,130 gr,8022560155664.0,0.745,0.692,0.45,32 straight,0.53,10.05,12.0,0.021,8.934,GOOD,WASHABLE,"D-s3,d2",CE,A+,32.0,Straight,,
Botany House,Botany House,44121.0,15567.0,15567,Botany House/TNT,,10.7,0.0,130 gr,8022560155671.0,0.745,0.692,0.45,32 straight,0.53,10.05,12.0,0.021,8.934,GOOD,WASHABLE,"D-s3,d2",CE,A+,32.0,Straight,,
Botany House,Botany House,44127.0,15568.0,15568,Botany House/TNT,,10.7,0.0,130 gr,8022560155688.0,0.745,0.692,0.45,32 straight,0.53,10.05,12.0,0.021,8.934,GOOD,WASHABLE,"D-s3,d2",CE,A+,32.0,Straight,,
Botany House,Botany House,44138.0,15569.0,15569,Botany House/TNT,,10.7,0.0,130 gr,8022560155695.0,0.745,0.692,0.45,32 straight,0.53,10.05,12.0,0.021,8.934,GOOD,WASHABLE,"D-s3,d2",CE,A+,32.0,Straight,,
Botany House,Botany House,44129.0,15571.0,15571,Botany House/TNT,,10.7,0.0,130 gr,8022560155718.0,0.745,0.692,0.45,"17,7 straight",0.53,10.05,12.0,0.021,8.934,GOOD,WASHABLE,"D-s3,d2",CE,A+,17.7,Straight,,
Botany House,Botany House,44143.0,15575.0,15575,Botany House/TNT,,10.7,0.0,130 gr,8022560155756.0,0.745,0.692,0.45,"17,7 straight",0.53,10.05,12.0,0.021,8.934,GOOD,WASHABLE,"D-s3,d2",CE,A+,17.7,Straight,,
Botany House,Botany House,44102.0,15576.0,15576,Botany House/TNT,,10.7,0.0,130 gr,8022560155763.0,0.745,0.692,0.45,"17,7 straight",0.53,10.05,12.0,0.021,8.934,GOOD,WASHABLE,"D-s3,d2",CE,A+,17.7,Straight,,
Botany House,Botany House,44155.0,15577.0,15577,Botany House/TNT,,10.7,0.0,130 gr,8022560155770.0,0.745,0.692,0.45,"17,7 straight",0.53,10.05,12.0,0.021,8.934,GOOD,WASHABLE,"D-s3,d2",CE,A+,17.7,Straight,,
Botany House,Botany House,44125.0,15578.0,15578,Botany House/TNT,,10.7,0.0,130 gr,8022560155787.0,0.745,0.692,0.45,"17,7 straight",0.53,10.05,12.0,0.021,8.934,GOOD,WASHABLE,"D-s3,d2",CE,A+,17.7,Straight,,
Botany House,Botany House,44149.0,15579.0,15579,Botany House/TNT,,10.7,0.0,130 gr,8022560155794.0,0.745,0.692,0.45,"17,7 straight",0.53,10.05,12.0,0.021,8.934,GOOD,WASHABLE,"D-s3,d2",CE,A+,17.7,Straight,,
Botany House,Botany House,44142.0,15580.0,15580,Botany House/TNT,,10.7,0.0,130 gr,8022560155800.0,0.745,0.692,0.45,zero,0.53,10.05,12.0,0.021,8.934,GOOD,WASHABLE,"D-s3,d2",CE,A+,0.0,,,
Botany House,Botany House,44104.0,15581.0,15581,Botany House/TNT,,10.7,0.0,130 gr,8022560155817.0,0.745,0.692,0.45,zero,0.53,10.05,12.0,0.021,8.934,GOOD,WASHABLE,"D-s3,d2",CE,A+,0.0,,,
